JMS_EndToEnd_Latencies
Message Number,Response Time (μs)
1,16205
2,8977
3,7409
4,5911
5,4521
6,2921
7,2405
8,2184
9,2194
10,1478
11,1921
12,1842
13,2161
14,1522
15,2021
16,1525
17,2028
18,1536
19,2130
20,1468
21,2154
22,1690
23,5573
24,4796
25,9205
26,5635
27,8797
28,5098
29,9795
30,5451
31,9779
32,5456
33,8363
34,5400
35,9694
36,5590
37,8169
38,4046
39,9922
40,5439
41,9775
42,5399
43,9042
44,4713
45,9691
46,5357
47,8961
48,4923
49,8331
50,4639
51,8589
52,5207
53,9188
54,4560
55,9024
56,4747
57,9072
58,5125
59,7843
60,4702
61,7954
62,4611
63,9326
64,5132
65,8410
66,4730
67,8933
68,4645
69,9272
70,4459
71,9006
72,4565
73,9141
74,4633
75,7859
76,4601
77,7784
78,4803
79,8954
80,4686
81,8368
82,4642
83,8564
84,5068
85,7924
86,4545
87,8546
88,5265
89,9161
90,5168
91,7826
92,4732
93,9126
94,5253
95,9252
96,4600
97,7843
98,5238
99,8492
100,5269
101,8442
102,4562
103,8636
104,5197
105,8432
106,4659
107,7935
108,5147
109,7835
110,4701
111,9157
112,5317
113,7777
114,4472
115,8601
116,5296
117,8979
118,4073
119,8478
120,5232
121,8664
122,5290
123,7243
124,4603
125,9101
126,4737
127,9305
128,4577
129,8457
130,4789
131,9023
132,4705
133,8529
134,5201
135,8316
136,4712
137,8927
138,5317
139,8350
140,4522
141,8501
142,4554
143,7943
144,4520
145,8485
146,5136
147,8532
148,5105
149,8457
150,4530
151,8636
152,5200
153,8422
154,4602
155,8496
156,4512
157,8564
158,4587
159,8070
160,4469
161,9085
162,5274
163,8338
164,4723
165,7855
166,5091
167,9133
168,4593
169,9057
170,4716
171,8480
172,5016
173,8583
174,5278
175,9127
176,4418
177,8476
178,4639
179,9101
180,4577
181,7812
182,4943
183,7734
184,5224
185,7999
186,5274
187,8913
188,4581
189,6386
190,1345
191,1993
192,1421
193,1970
194,1348
195,1743
196,1385
197,2052
198,1482
199,2012
200,1364
201,1869
202,1411
203,1929
204,1377
205,1985
206,1269
207,2137
208,1402
209,2000
210,1513
211,1867
212,1384
213,1981
214,1363
215,2021
216,1263
217,2117
218,1365
219,2017
220,1400
221,1887
222,1545
223,1991
224,1330
225,2067
226,1366
227,2044
228,1389
229,1972
230,1418
231,1918
232,1293
233,1993
234,1392
235,1971
236,1268
237,1914
238,1228
239,2014
240,1344
241,1880
242,1345
243,1275
244,2019
245,1374
246,2027
247,1351
248,1881
249,1359
250,1772
251,1279
252,2049
253,1388
254,1916
255,1323
256,2135
257,1490
258,2040
259,1561
260,1959
261,1365
262,1976
263,1277
264,1725
265,1407
266,1890
267,1193
268,1820
269,1362
270,1881
271,1363
272,1994
273,1240
274,1748
275,1201
276,1808
277,1245
278,2036
279,1352
280,1769
281,1127
282,1768
283,1301
284,1744
285,1411
286,1861
287,1409
288,1939
289,1232
290,1848
291,1138
292,1865
293,1281
294,2111
295,1273
296,1700
297,1293
298,1822
299,1285
300,1934
301,1143
302,1847
303,1267
304,1865
305,1324
306,1811
307,1278
308,1995
309,1281
310,1855
311,1253
312,1756
313,1425
314,1984
315,1325
316,1867
317,1160
318,1885
319,1367
320,2018
321,1270
322,1758
323,1308
324,2001
325,1382
326,1720
327,1365
328,1880
329,1209
330,1893
331,1284
332,1725
333,1163
334,1888
335,1376
336,1991
337,1226
338,1799
339,1202
340,1749
341,1253
342,1989
343,1369
344,1934
345,1226
346,1895
347,1339
348,2022
349,1120
350,1874
351,1349
352,1975
353,1250
354,1730
355,1286
356,1974
357,1375
358,2077
359,1368
360,1870
361,1363
362,1238
363,2026
364,1412
365,1799
366,1239
367,1879
368,1241
369,1994
370,1476
371,1858
372,1281
373,1844
374,1362
375,2034
376,1275
377,2129
378,1280
379,1987
380,1398
381,2159
382,1441
383,1970
384,1461
385,2077
386,1179
387,1961
388,1340
389,1243
390,1981
391,1275
392,1706
393,1177
394,1803
395,1257
396,1757
397,1129
398,1850
399,1247
400,1862
401,1224
402,1735
403,1392
404,1980
405,1377
406,2010
407,1209
408,1903
409,1237
410,1969
411,1236
412,1887
413,1198
414,1988
415,1252
416,2009
417,1400
418,1868
419,1333
420,1736
421,1345
422,1882
423,1291
424,1912
425,1248
426,1776
427,1342
428,1956
429,1311
430,2008
431,1282
432,1994
433,1238
434,1748
435,1242
436,1987
437,1223
438,1863
439,1367
440,1624
441,1257
442,2024
443,1325
444,1999
445,1123
446,2001
447,1267
448,1742
449,1296
450,1842
451,1235
452,1985
453,1234
454,1986
455,1268
456,1818
457,1240
458,1867
459,1297
460,1967
461,1124
462,2046
463,1244
464,1937
465,1256
466,1730
467,1276
468,2076
469,1280
470,1837
471,1130
